"YEAR","EVENT_ID","SITE_ID","STATION","POT_ID","SAMPLE_POT","all_Cnt_cc","all_Kg_cc","lrg_Cnt","lrg_Kg","fem_Cnt","fem_Kg"
"1992","1992P04003","1","A","1","Sample","2","0.053",1.000000,0.033639,0.000000,0.000000
"1992","1992P04003","1","A","10","Sample","17","0.605",17.000000,0.605000,7.000000,0.326169
"1992","1992P04003","1","A","11","Sample","12","0.495",12.000000,0.495000,7.000000,0.359081
"1992","1992P04003","1","A","2","Sample","9","0.249",7.000000,0.214325,2.000000,0.073695
"1992","1992P04003","1","A","3","Sample","2","0.08",2.000000,0.080000,1.000000,0.047658
"1992","1992P04003","1","A","4","Sample","3","0.075",3.000000,0.075000,0.000000,0.000000
"1992","1992P04003","1","A","5","Sample","30","0.786",26.000000,0.717292,5.000000,0.172105
"1992","1992P04003","1","A","6","Sample","38","1.199",36.000000,1.160189,14.000000,0.567599
"1992","1992P04003","1","A","7","Sample","33","0.927",32.000000,0.913381,7.000000,0.259030
"1992","1992P04003","1","A","9","Sample","12","0.367",12.000000,0.367000,3.000000,0.129890
"1992","1992P04004","1","B","1","Sample","24","0.778",24.000000,0.778000,6.000000,0.265995
"1992","1992P04004","1","B","10","Sample","2","0.07",2.000000,0.070000,1.000000,0.044294
"1992","1992P04004","1","B","11","Sample","0","0",0.000000,0.000000,0.000000,0.000000
"1992","1992P04004","1","B","2","Sample","3","0.029",3.000000,0.029000,0.000000,0.000000
"1992","1992P04004","1","B","3","Sample","14","0.487",14.000000,0.487000,5.000000,0.206374
"1992","1992P04004","1","B","4","Sample","57","1.854",56.000000,1.835292,17.000000,0.734799
"1992","1992P04004","1","B","5","Sample","18","0.556",18.000000,0.556000,6.000000,0.225556
"1992","1992P04004","1","B","6","Sample","10","0.292",8.000000,0.258483,2.000000,0.095947
"1992","1992P04004","1","B","7","Sample","6","0.18",6.000000,0.180000,1.000000,0.040149
"1992","1992P04004","1","B","8","Sample","12","0.434",12.000000,0.434000,6.000000,0.271073
