"year","N","n","tau_all_cnt","tau_lrg_kg","mu_all_kg","mu_lrg_kg","se_all_kg","se_lrg_kg"
1992,349,349,5009,87.009437,0.32367335243553,0.24931070773639,0.0177420349468639,0.00214556435107763
1993,325,324,2434,39.5722234380006,0.168252307692308,0.12176068750154,0.0121998736276865,0.00133873859660863
1994,355,353,4119,30.0605672787851,0.185383098591549,0.084677654306437,0.0131744216088069,0.000988917448148829
1995,350,350,5053,53.86484,0.267285714285714,0.153899542857143,0.0150580509737717,0.0012847333508483
1996,350,NA,4618,NA,0.23608,NA,0.0146451116070451,NA
1997,345,342,3816,33.0459358621492,0.186023188405797,0.0957853213395629,0.0136177880281397,0.00120187116680128
1998,264,264,2252,17.262611,0.131405303030303,0.065388678030303,0.0114387144202269,0.000794135595505503
1999,346,332,4385,34.6681975024263,0.215092485549133,0.100197102608168,0.0153215740975329,0.00192925839663868
2000,349,349,6545,62.039859,0.318888252148997,0.177764638968481,0.0196804772723806,0.00164062735823968
2001,351,350,7034,102.262919,0.427541310541311,0.291347347578348,0.0230518650680937,0.00214209786420062
2002,304,298,8794,112.468812920398,0.562013157894737,0.369963200396046,0.033983310006397,0.00277307562316187
2003,352,352,9333,126.036237,0.5125625,0.358057491477273,0.0325247013078489,0.00297052886471214
2004,352,352,12593,133.617163,0.647474431818182,0.379594213068182,0.0375410842640503,0.00244169781242162
2005,349,349,14453,98.603417,0.625189111747851,0.282531280802292,0.0341526441405378,0.0019515960705678
2006,346,32,14133,129.66623549479,0.719609825372524,0.374757906054306,0.0378731917652186,0.0245130808498991
2007,349,32,24152,166.749737174469,1.08857020214157,0.477792943193322,0.051840442713547,0.0325107468977376
2008,348,32,23004,173.417412418443,1.16345546010856,0.498325897754146,0.0580946483075345,0.0204671914783934
2009,351,32,17622,234.961416613671,1.06563305100501,0.669405745338093,0.0520233522083367,0.0317309192805735
2010,350,32,8585,176.395456776807,0.619960569694076,0.503987019362306,0.0356378503789832,0.0173842618122962
2011,350,30,11580,265.950320590239,0.885428570445095,0.759858058829254,0.059620733747307,0.0287216547647114
2012,392,50,15928,283.24772622796,0.964923468239187,0.722570730173368,0.0518914387252612,0.0161583325114637
2013,392,36,14453,242.98270398065,0.861173469874514,0.619853836685331,0.0426303569992698,0.0133513776271631
2014,393,36,16051,248.723735624029,0.868468193384224,0.632884823470811,0.0426938548300924,0.0211439487633645
2015,395,36,14118,181.199940779859,0.722481012658228,0.458734027290782,0.0363106610330338,0.0182926253936684
2016,359,72,19821,321.664501172948,1.24622284122563,0.896001396024924,0.0631616718385627,0.0264535717624393
2017,359,70,37674,312.986717907994,1.77980501392758,0.871829297793854,0.076647936277065,0.0538582391552399
2018,392,35,40894,335.039465496797,1.73005126511036,0.854692514022442,0.0528531593491098,0.0535635756136311
