"year","N","n","tau_all_kg","tau_all_cnt","mu_all_kg","mu_all_cnt","se_all_kg","tau_lrg_kg","tau_lrg_cnt","mu_lrg_kg","mu_lrg_cnt","se_lrg_kg"
1992,349,349,112.962,5009,0.32367335243553,14.352435530086,0.0177420349468639,87.009437,3023,0.24931070773639,8.66189111747851,0.00214556435107763
1993,325,324,54.682,2434,0.168252307692308,7.48923076923077,0.0121998736276865,39.5722234380006,1008.22736030829,0.12176068750154,3.1022380317178,0.00133873859660863
1994,355,353,65.811,4119,0.185383098591549,11.6028169014085,0.0131744216088069,30.0605672787851,993.801068090788,0.084677654306437,2.79943962842475,0.000988917448148829
1995,350,350,93.55,5053,0.267285714285714,14.4371428571429,0.0150580509737717,53.86484,1869,0.153899542857143,5.34,0.0012847333508483
1996,350,NA,82.628,4618,0.23608,13.1942857142857,0.0146451116070451,NA,NA,NA,NA,NA
1997,345,342,64.178,3816,0.186023188405797,11.0608695652174,0.0136177880281397,33.0459358621492,1107.25118338321,0.0957853213395629,3.20942371995134,0.00120187116680128
1998,264,264,34.691,2252,0.131405303030303,8.53030303030303,0.0114387144202269,17.262611,571,0.065388678030303,2.16287878787879,0.000794135595505503
1999,346,332,74.422,4385,0.215092485549133,12.6734104046243,0.0153215740975329,34.6681975024263,1082.08392603129,0.100197102608168,3.12741019084189,0.00192925839663868
2000,349,349,111.292,6545,0.318888252148997,18.7535816618911,0.0196804772723806,62.039859,2182,0.177764638968481,6.25214899713467,0.00164062735823968
2001,351,350,150.067,7034,0.427541310541311,20.039886039886,0.0230518650680937,102.262919,3456,0.291347347578348,9.84615384615385,0.00214209786420062
2002,304,298,170.852,8794,0.562013157894737,28.9276315789474,0.033983310006397,112.468812920398,3270.32699619772,0.369963200396046,10.7576545927557,0.00277307562316187
2003,352,352,180.422,9333,0.5125625,26.5142045454545,0.0325247013078489,126.036237,4132,0.358057491477273,11.7386363636364,0.00297052886471214
2004,352,352,227.911,12593,0.647474431818182,35.7755681818182,0.0375410842640503,133.617163,4161,0.379594213068182,11.8210227272727,0.00244169781242162
2005,349,349,218.191,14453,0.625189111747851,41.4126074498567,0.0341526441405378,98.603417,3506.96089,0.282531280802292,10.0485985386819,0.0019515960705678
2006,346,32,248.984999578893,14133,0.719609825372524,40.8468208092486,0.0378731917652186,129.66623549479,4428.26005410361,0.374757906054306,12.7984394627272,0.0245130808498991
2007,349,32,379.911000547409,24152,1.08857020214157,69.2034383954155,0.051840442713547,166.749737174469,6034.11187887021,0.477792943193322,17.289718850631,0.0325107468977376
2008,348,32,404.882500117779,23004,1.16345546010856,66.1034482758621,0.0580946483075345,173.417412418443,6085.82473867711,0.498325897754146,17.4880021226354,0.0204671914783934
2009,351,32,374.03720090276,17622,1.06563305100501,50.2051282051282,0.0520233522083367,234.961416613671,7873.42863034948,0.669405745338093,22.4314205992863,0.0317309192805735
2010,350,32,216.986199392927,8585,0.619960569694076,24.5285714285714,0.0356378503789832,176.395456776807,5944.31519016571,0.503987019362306,16.9837576861877,0.0173842618122962
2011,350,30,309.899999655783,11580,0.885428570445095,33.0857142857143,0.059620733747307,265.950320590239,7946.65596071847,0.759858058829254,22.7047313163385,0.0287216547647114
2012,392,50,378.249999549761,15928,0.964923468239187,40.6326530612245,0.0518914387252612,283.24772622796,8279.73309239695,0.722570730173368,21.1217680928494,0.0161583325114637
2013,392,36,337.580000190809,14453,0.861173469874514,36.8698979591837,0.0426303569992698,242.98270398065,7176.00688989322,0.619853836685331,18.3061400252378,0.0133513776271631
2014,393,36,341.308,16051,0.868468193384224,40.8422391857506,0.0426938548300924,248.723735624029,8211.10022334249,0.632884823470811,20.8933847922201,0.0211439487633645
2015,395,36,285.38,14118,0.722481012658228,35.7417721518987,0.0363106610330338,181.199940779859,5249.52269653434,0.458734027290782,13.2899308773021,0.0182926253936684
2016,359,72,447.394,19821,1.24622284122563,55.2116991643454,0.0631616718385627,321.664501172948,9189.30558727707,0.896001396024924,25.5969514965935,0.0264535717624393
2017,359,70,638.95,37674,1.77980501392758,104.941504178273,0.076647936277065,312.986717907994,8735.9672902066,0.871829297793854,24.3341707248095,0.0538582391552399
2018,392,35,678.180095923261,40894,1.73005126511036,104.321428571429,0.0528531593491098,335.039465496797,11395.1409950605,0.854692514022442,29.0692372322972,0.0535635756136311
