"","yrs","f50"
"1",1992,40.0784581671724
"2",1993,39.9203361458151
"3",1994,40.3486283464465
"4",1995,40.4438813894147
"5",1997,39.5059927312376
"6",1998,41.4070308642454
"7",1999,40.068341887003
"8",2000,40.6622864692567
"9",2001,40.6895290810147
"10",2002,40.9215676316407
"11",2003,42.5047946407761
"12",2004,40.8308317643362
"13",2005,40.9104471665505
"14",2006,38.5716693460183
"15",2007,38.5319607106033
"16",2008,38.6580091928256
"17",2009,38.3331998774209
"18",2010,39.434235166825
"19",2011,39.6203885519334
"20",2012,40.2057065630397
"21",2013,40.2978191778106
"22",2014,40.0370280438694
"23",2015,41.7967291464875
"24",2016,40.1178567578627
"25",2017,39.1843706075166
"26",2018,39.0777510612713
